,asin,com,market_ids,variation,listed_date,salesRANK,prices,ave_rating,color,itemLength,itemWidth,itemHeight,itemWeight,Fra_income,sales,Brand,Firm,suction,isEligibleForSuperSaverShipping,Wok_1charge,year,pro_age
91,B01MU4WAUI,2019-04B01MU4WAUI,2019-04,None,28/12/2016 00:00,49865,266,3.8,White,345,345,96,3810,73389480,620,B01MU4WAUI,Xiaomi,1800,FALSE,150,2019,3
92,B01MU4WAUI,2019-03B01MU4WAUI,2019-03,None,28/12/2016 00:00,43825,335,3.95,White,345,345,96,3810,73269680,710,B01MU4WAUI,Xiaomi,1800,FALSE,150,2019,3
93,B01MU4WAUI,2019-02B01MU4WAUI,2019-02,None,28/12/2016 00:00,39317,266,3.9,White,345,345,96,3810,73191810,798,B01MU4WAUI,Xiaomi,1800,FALSE,150,2019,3
94,B01MU4WAUI,2018-04B01MU4WAUI,2018-04,None,28/12/2016 00:00,37729,395.39,4.2,White,345,345,96,3810,72648000,829,B01MU4WAUI,Xiaomi,1800,FALSE,150,2018,4
95,B01MU4WAUI,2017-02B01MU4WAUI,2017-02,None,28/12/2016 00:00,25757,300,4,White,345,345,96,3810,70709760,1146,B01MU4WAUI,Xiaomi,1800,FALSE,150,2017,5
96,B01MU4WAUI,2017-05B01MU4WAUI,2017-05,None,28/12/2016 00:00,10819,269,4.566666667,White,345,345,96,3810,70804800,2308,B01MU4WAUI,Xiaomi,1800,FALSE,150,2017,5
97,B01MU4WAUI,2018-02B01MU4WAUI,2018-02,None,28/12/2016 00:00,18644,367,4.44,White,345,345,96,3810,71880000,1488,B01MU4WAUI,Xiaomi,1800,FALSE,150,2018,4
98,B01MU4WAUI,2017-12B01MU4WAUI,2017-12,None,28/12/2016 00:00,3724,356.19,4.525,White,345,345,96,3810,71434440,4502,B01MU4WAUI,Xiaomi,1800,FALSE,150,2017,5
99,B01MU4WAUI,2017-06B01MU4WAUI,2017-06,None,28/12/2016 00:00,4160,279,4.32,White,345,345,96,3810,70317720,4252,B01MU4WAUI,Xiaomi,1800,FALSE,150,2017,5
100,B01MU4WAUI,2017-07B01MU4WAUI,2017-07,None,28/12/2016 00:00,4652,299,4.55,White,345,345,96,3810,70383060,3970,B01MU4WAUI,Xiaomi,1800,FALSE,150,2017,5
101,B01MU4WAUI,2017-03B01MU4WAUI,2017-03,None,28/12/2016 00:00,10189,286.79,4.45,White,345,345,96,3810,70424640,2420,B01MU4WAUI,Xiaomi,1800,FALSE,150,2017,5
102,B01MU4WAUI,2018-08B01MU4WAUI,2018-08,None,28/12/2016 00:00,537,349.99,4.207692308,White,345,345,96,3810,72786000,13868,B01MU4WAUI,Xiaomi,1800,FALSE,150,2018,4
103,B01MU4WAUI,2017-08B01MU4WAUI,2017-08,None,28/12/2016 00:00,3089,299,4.7,White,345,345,96,3810,70757280,4982,B01MU4WAUI,Xiaomi,1800,FALSE,150,2017,5
104,B01MU4WAUI,2018-11B01MU4WAUI,2018-11,None,28/12/2016 00:00,706,266,4.044444444,White,345,345,96,3810,73482000,11950,B01MU4WAUI,Xiaomi,1800,FALSE,150,2018,4
105,B01N2JK1IU,2019-07B01N2JK1IU,2019-07,None,21/11/2016 00:00,533347,180,3.95,None,460,356,142,4296,73275670,1,B01N2JK1IU,Excelvan,1600,FALSE,120,2019,3
106,B01N2JK1IU,2019-04B01N2JK1IU,2019-04,None,21/11/2016 00:00,48501,189.99,4.55,None,460,356,142,4296,73389480,631,B01N2JK1IU,Excelvan,1600,FALSE,120,2019,3
107,B01N2JK1IU,2019-03B01N2JK1IU,2019-03,None,21/11/2016 00:00,39739,179.99,4.45,None,460,356,142,4296,73269680,789,B01N2JK1IU,Excelvan,1600,FALSE,120,2019,3
108,B01N2JK1IU,2019-05B01N2JK1IU,2019-05,None,21/11/2016 00:00,37316,169.99,4.24,None,460,356,142,4296,73383490,837,B01N2JK1IU,Excelvan,1600,FALSE,120,2019,3
109,B01N2JK1IU,2019-02B01N2JK1IU,2019-02,None,21/11/2016 00:00,23577,179.99,5,None,460,356,142,4296,73191810,1223,B01N2JK1IU,Excelvan,1600,FALSE,120,2019,3
